Year,Reg,Group,Sex,ASMR_per_1000
1989,1176,U,F,9.9
1989,1176,U,M,16.5
1989,1177,R,B,19.3
1989,1177,R,F,16.9
1989,1177,R,M,22.7
1989,1177,T,B,17.1
1989,1177,T,F,14.4
1989,1177,T,M,19.9
1989,1177,U,B,15.9
1989,1177,U,F,13.6
1989,1177,U,M,NA
1989,1178,R,B,12.1
1989,1178,R,F,8.2
1989,1178,R,M,18.8
1989,1178,T,B,11.4
1989,1178,T,F,8.4
1989,1178,T,M,16.8
1989,1178,U,B,11.4
1989,1178,U,F,8.6
1989,1178,U,M,16.3
1989,1179,R,B,10.9
1989,1179,R,F,7.8
1989,1179,R,M,15.4
1989,1179,T,B,11
1989,1179,T,F,8.1
1989,1179,T,M,15.5
1989,1179,U,B,11.2
1989,1179,U,F,8.4
1989,1179,U,M,15.6
1989,1180,R,B,10.7
1989,1180,R,F,7.8
1989,1180,R,M,15.5
1989,1180,T,B,10.8
1989,1180,T,F,8.1
1989,1180,T,M,15.5
1989,1180,U,B,10.9
1989,1180,U,F,8.3
1989,1180,U,M,15.7
1989,1181,R,B,12.7
1989,1181,R,F,9.9
1989,1181,R,M,16.9
1989,1181,T,B,12.5
1989,1181,T,F,9.6
1989,1181,T,M,16.9
1989,1181,U,B,12.4
1989,1181,U,F,9.5
1989,1181,U,M,17
1989,1182,R,B,8.9
1989,1182,R,F,6.8
1989,1182,R,M,12.4
1989,1182,T,B,8.9
1989,1182,T,F,6.7
1989,1182,T,M,12.5
1989,1182,U,B,8.9
1989,1182,U,F,6.6
1989,1182,U,M,12.5
1989,1183,R,B,10.2
1989,1183,R,F,7.5
1989,1183,R,M,14.7
1989,1183,T,B,10.3
1989,1183,T,F,7.6
1989,1183,T,M,14.6
1989,1183,U,B,10.4
1989,1183,U,F,7.7
1989,1183,U,M,14.4
1989,1184,R,B,13.5
1989,1184,R,F,9.9
1989,1184,R,M,19.5
1989,1184,T,B,13.3
1989,1184,T,F,10.1
1989,1184,T,M,18.6
1989,1184,U,B,12.6
1989,1184,U,F,10.4
1989,1184,U,M,16.4
1989,1185,R,B,12.2
1989,1185,R,F,9.1
1989,1185,R,M,17.3
1989,1185,T,B,12.7
1989,1185,T,F,9.5
1989,1185,T,M,18.1
1989,1185,U,B,13.3
1989,1185,U,F,9.8
1989,1185,U,M,19.1
1989,1186,R,B,12.9
1989,1186,R,F,9.8
1989,1186,R,M,17.8
1989,1186,T,B,12.5
1989,1186,T,F,9.5
1989,1186,T,M,18.1
1989,1186,U,B,12.3
1989,1186,U,F,9.4
1989,1186,U,M,18.3
1989,1187,R,B,13.3
1989,1187,R,F,10
1989,1187,R,M,19
1989,1187,T,B,12.7
1989,1187,T,F,9.7
1989,1187,T,M,18.1
1989,1187,U,B,12.5
1989,1187,U,F,9.6
1989,1187,U,M,17.8
1989,1188,R,B,13
1989,1188,R,F,10
1989,1188,R,M,18.8
1989,1188,T,B,11.7
1989,1188,T,F,8.9
1989,1188,T,M,17
1989,1188,U,B,10.8
1989,1188,U,F,8.2
1989,1188,U,M,15.9
1989,1189,R,B,10.1
1989,1189,R,F,7.3
1989,1189,R,M,15.4
1989,1189,T,B,10.3
1989,1189,T,F,7.7
1989,1189,T,M,15.6
1989,1189,U,B,11
1989,1189,U,F,8.3
1989,1189,U,M,16.2
1989,1190,R,B,10.3
1989,1190,R,F,7.2
1989,1190,R,M,15.2
1989,1190,T,B,10.2
1989,1190,T,F,7.4
1989,1190,T,M,14.8
1989,1190,U,B,10.3
1989,1190,U,F,7.7
1989,1190,U,M,14.7
1989,1192,R,B,10.2
1989,1192,R,F,7.3
1989,1192,R,M,15.2
1989,1192,T,B,10.3
1989,1192,T,F,7.6
1989,1192,T,M,15.2
1989,1192,U,B,10.6
1989,1192,U,F,8
1989,1192,U,M,15.4
1989,1193,R,B,17.9
1989,1193,R,F,14.3
1989,1193,R,M,22.9
1989,1193,T,B,16.3
1989,1193,T,F,13
1989,1193,T,M,20.6
1989,1193,U,B,14.9
1989,1193,U,F,11.7
1989,1193,U,M,18.9
1989,1194,R,B,12.5
1989,1194,R,F,9.4
1989,1194,R,M,18
1989,1194,T,B,11.9
1989,1194,T,F,9
1989,1194,T,M,17.4
1989,1194,U,B,11.6
1989,1194,U,F,8.8
1989,1194,U,M,17.1
1989,1195,R,B,13.2
1989,1195,R,F,9.7
1989,1195,R,M,18.9
1989,1195,T,B,12.5
1989,1195,T,F,9.6
1989,1195,T,M,17
1989,1195,U,B,12.3
1989,1195,U,F,9.6
1989,1195,U,M,16.4
1989,1196,R,B,11.1
1989,1196,R,F,8
1989,1196,R,M,15.8
1989,1196,T,B,11.5
1989,1196,T,F,8.6
1989,1196,T,M,15.9
1989,1196,U,B,11.9
1989,1196,U,F,9.2
1989,1196,U,M,16
1989,1197,R,B,11.4
1989,1197,R,F,8.6
1989,1197,R,M,16.6
1989,1197,T,B,10.7
1989,1197,T,F,8.3
1989,1197,T,M,15.2
1989,1197,U,B,10.3
1989,1197,U,F,8.1
1989,1197,U,M,14.1
1989,1198,R,B,13.5
1989,1198,R,F,11.2
1989,1198,R,M,16.5
1989,1198,T,B,13.3
1989,1198,T,F,10.7
1989,1198,T,M,17.3
1989,1198,U,B,13.3
1989,1198,U,F,10.4
1989,1198,U,M,18.4
1989,1199,R,B,12.1
1989,1199,R,F,8.8
1989,1199,R,M,16.9
1989,1199,T,B,13.7
1989,1199,T,F,10.2
1989,1199,T,M,18.6
1989,1199,U,B,14.2
1989,1199,U,F,10.7
1989,1199,U,M,19.2
1989,3000,R,B,12.1
1989,3000,R,F,8.5
1989,3000,R,M,18
1989,3000,T,B,11.6
1989,3000,T,F,8.7
1989,3000,T,M,16.6
1989,3000,U,B,11.5
1989,3000,U,F,8.8
1989,3000,U,M,16.2
1989,3100,R,B,12.4
1989,3100,R,F,8.9
1989,3100,R,M,18.4
1989,3100,T,B,11.8
1989,3100,T,F,9.1
1989,3100,T,M,16.7
1989,3100,U,B,11.7
1989,3100,U,F,9.1
1989,3100,U,M,16.2
1989,3300,R,B,11.2
1989,3300,R,F,8.2
1989,3300,R,M,16.5
1989,3300,T,B,11.2
1989,3300,T,F,8.4
1989,3300,T,M,16.2
1989,3300,U,B,11.3
1989,3300,U,F,8.6
1989,3300,U,M,16.2
