Year,Reg,Group,Sex,DrAa0,DrAa1,DrAa5,DrAa10,DrAa15,DrAa20,DrAa25,DrAa30,DrAa35,DrAa40,DrAa45,DrAa50,DrAa55,DrAa60,DrAa65,DrAa70,DrAa75,DrAa80,DrAa85
2015,1142,R,B,10037,263,321,251,652,2090,2595,4067,4358,6365,8458,10148,14577,23995,28414,41207,62721,96996,181032
2015,1142,R,M,8718,206,364,194,1061,3283,4204,6739,6642,9245,12535,15587,22584,39655,43097,65094,97120,125012,198249
2015,1142,R,F,11419,323,278,312,223,881,871,1167,2026,3572,4398,4870,7128,11363,18412,29549,48845,87785,177439
2015,1146,T,B,4843,230,143,262,632,1063,1812,3025,4174,5158,6490,8781,12599,18304,25199,37546,57297,98720,190055
2015,1146,T,M,5319,226,181,249,837,1547,2816,4714,6440,7679,9867,13614,19877,30089,40248,58327,81043,119599,188181
2015,1146,T,F,4346,234,103,275,407,498,806,1415,2013,2757,3424,4742,7024,10331,16109,27370,47602,91686,190098
2015,1146,U,B,5190,234,130,244,645,1099,1880,3118,4268,5223,6576,8921,12550,18349,25631,38116,58502,101403,200042
2015,1146,U,M,5736,244,161,231,864,1591,2885,4887,6735,7755,10143,14029,19954,30597,41451,59362,82703,123523,196854
2015,1146,U,F,4624,223,98,258,411,547,886,1460,1952,2850,3394,4746,7026,10316,16316,27814,48683,93951,200357
2015,1146,R,B,2837,210,199,339,576,912,1504,2596,3729,4847,6101,8188,12787,18103,23288,35127,52393,88176,154044
2015,1146,R,M,2952,136,269,328,729,1378,2511,3952,5107,7333,8686,11960,19557,28112,35344,54067,74436,104426,152479
2015,1146,R,F,2714,289,126,351,388,271,433,1200,2314,2297,3564,4721,7015,10397,15148,25457,43164,82737,154400
2015,1154,T,B,9203,394,105,287,676,1243,1867,3312,4590,5964,7744,11342,15131,21526,26321,40582,64498,107326,199244
2015,1154,T,M,10243,649,154,337,1061,2213,3022,5438,7315,9704,12291,18761,25181,37660,43062,70690,98871,147006,218574
2015,1154,T,F,8105,125,54,235,293,301,713,1193,2007,2548,3758,4954,7250,10511,16013,26625,51183,94987,194588
2015,1154,U,B,8316,258,80,355,570,945,1565,2889,4188,5331,7245,10432,13440,20502,24811,39665,63800,108693,201802
2015,1154,U,M,10215,506,157,436,977,1772,2646,4798,6817,9057,11862,18181,23402,37225,40668,71686,97627,142296,229006
2015,1154,U,F,6331,0,0,272,173,172,521,1013,1702,1998,3363,4325,6427,9953,15521,25139,50915,98105,195069
2015,1154,R,B,10638,589,153,163,895,2088,2592,4344,5566,7296,8605,12838,18179,23688,29611,42319,65606,105523,195262
2015,1154,R,M,10291,849,148,158,1229,3379,3874,6962,8527,11025,12990,19600,27894,38474,47806,68937,100767,153083,201626
2015,1154,R,F,11010,307,159,168,548,695,1201,1640,2747,3739,4477,6108,8948,11809,17152,29476,51616,90952,193844
2015,1161,T,B,6362,272,265,316,632,1175,2039,3361,4334,5663,7629,9110,13528,19210,25793,40841,58187,95474,176045
2015,1161,T,M,7095,245,332,246,1041,1739,3461,4982,6533,8299,11944,14357,21569,32166,42615,67666,88998,127263,173768
2015,1161,T,F,5598,300,195,390,208,565,514,1632,2169,3172,3675,4573,7188,10194,15660,28764,45747,84761,176567
2015,1161,U,B,6979,185,236,354,606,1040,1866,3065,4083,5650,6990,8798,13199,18780,26230,42027,62249,103404,183735
2015,1161,U,M,6787,181,409,230,1037,1564,3357,4549,5873,8307,11130,14195,21499,31746,43768,68618,94574,133600,184804
